Address,Is POH User,Timestamp,Direct Holdings (sDAI),Indirect Holdings (sDAI),Total Holdings (sDAI),Share of Holdings,Share of Holdings (PoH Users)
0x000461a73d3985eef4923655782aa5d0de75c111,No,1737225735,847.624,0,847.624,0.4650%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1737225735,240.959,0,240.959,0.1322%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1737225735,229.462,0,229.462,0.1259%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1737225735,222.476,0,222.476,0.1220%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1737225735,73.645,0,73.645,0.0404%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1737225735,52.695,0,52.695,0.0289%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1737225735,32.185,0,32.185,0.0177%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1737225735,8.952,0,8.952,0.0049%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1737225735,6.813,0,6.813,0.0037%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1737225735,5.69,0,5.69,0.0031%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1737225735,3.188,0,3.188,0.0017%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1737225735,2.128,0,2.128,0.0012%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1737225735,1.85,0,1.85,0.0010%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1737225735,0.982,0,0.982,0.0005%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1737413502,"58,332.009","32,413.496","90,745.504",49.7799%,0%
0x334f12afb7d8740868be04719639616533075234,No,1737413502,"75,896.505",0,"75,896.505",41.6342%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1737413502,"6,447.761",0,"6,447.761",3.5370%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1737413502,"4,007.925",0,"4,007.925",2.1986%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1737413502,"1,236.292",0,"1,236.292",0.6782%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1737413502,"1,140.688",0,"1,140.688",0.6257%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1737413502,"1,090.211",0,"1,090.211",0.5981%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1737413502,847.624,0,847.624,0.4650%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1737413502,240.959,0,240.959,0.1322%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1737413502,229.462,0,229.462,0.1259%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1737413502,222.476,0,222.476,0.1220%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1737413502,73.645,0,73.645,0.0404%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1737413502,52.695,0,52.695,0.0289%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1737413502,32.185,0,32.185,0.0177%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1737413502,8.952,0,8.952,0.0049%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1737413502,6.813,0,6.813,0.0037%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1737413502,5.69,0,5.69,0.0031%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1737413502,3.188,0,3.188,0.0017%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1737413502,2.128,0,2.128,0.0012%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1737413502,1.85,0,1.85,0.0010%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1737413502,0.982,0,0.982,0.0005%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1737704962,"58,332.009","32,413.496","90,745.504",49.7799%,0%
0x334f12afb7d8740868be04719639616533075234,No,1737704962,"75,896.505",0,"75,896.505",41.6342%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1737704962,"6,447.761",0,"6,447.761",3.5370%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1737704962,"4,007.925",0,"4,007.925",2.1986%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1737704962,"1,236.292",0,"1,236.292",0.6782%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1737704962,"1,140.688",0,"1,140.688",0.6257%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1737704962,"1,090.211",0,"1,090.211",0.5981%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1737704962,847.624,0,847.624,0.4650%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1737704962,240.959,0,240.959,0.1322%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1737704962,229.462,0,229.462,0.1259%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1737704962,222.476,0,222.476,0.1220%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1737704962,73.645,0,73.645,0.0404%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1737704962,52.695,0,52.695,0.0289%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1737704962,32.185,0,32.185,0.0177%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1737704962,8.952,0,8.952,0.0049%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1737704962,6.813,0,6.813,0.0037%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1737704962,5.69,0,5.69,0.0031%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1737704962,3.188,0,3.188,0.0017%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1737704962,2.128,0,2.128,0.0012%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1737704962,1.85,0,1.85,0.0010%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1737704962,0.982,0,0.982,0.0005%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1738113867,"58,332.009","32,413.496","90,745.504",49.7799%,0%
0x334f12afb7d8740868be04719639616533075234,No,1738113867,"75,896.505",0,"75,896.505",41.6342%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1738113867,"6,447.761",0,"6,447.761",3.5370%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1738113867,"4,007.925",0,"4,007.925",2.1986%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1738113867,"1,236.292",0,"1,236.292",0.6782%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1738113867,"1,140.688",0,"1,140.688",0.6257%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1738113867,"1,090.211",0,"1,090.211",0.5981%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1738113867,847.624,0,847.624,0.4650%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1738113867,240.959,0,240.959,0.1322%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1738113867,229.462,0,229.462,0.1259%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1738113867,222.476,0,222.476,0.1220%,0%
